                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.61116,                0.29379,                0.78455,                0.83461,                0.61916,                0.72168,                0.52179,                0.66338,                0.30347,                0.78748,               0.002872,               0.002872,               0.002872
                     75,                0.61132,                0.29221,                0.78352,                0.83436,                0.61997,                 0.7211,                0.52096,                0.66283,                0.30276,                0.78767,               0.002773,               0.002773,               0.002773
                     76,                 0.6077,                0.29085,                0.78439,                0.83415,                0.62087,                0.72144,                0.52154,                0.66153,                0.30202,                0.78761,               0.002674,               0.002674,               0.002674
                     77,                0.60086,                0.28829,                0.78301,                0.83762,                0.62273,                0.72235,                0.52224,                0.66139,                0.30167,                0.78753,               0.002575,               0.002575,               0.002575
                     78,                0.60083,                0.28774,                0.78382,                0.83926,                0.61871,                0.72158,                0.52199,                0.66022,                 0.3009,                0.78727,               0.002476,               0.002476,               0.002476
                     79,                0.59678,                0.28505,                0.78392,                0.83871,                0.62102,                0.72304,                0.52349,                0.65968,                0.30058,                0.78737,               0.002377,               0.002377,               0.002377
                     80,                0.59048,                0.28163,                0.78225,                0.83927,                0.61786,                0.72175,                 0.5238,                0.65903,                 0.3003,                0.78741,               0.002278,               0.002278,               0.002278
                     81,                0.59276,                0.28238,                0.78242,                0.83696,                0.61979,                0.72219,                0.52353,                0.65941,                0.30003,                0.78748,               0.002179,               0.002179,               0.002179
                     82,                0.58329,                 0.2782,                0.78266,                0.83594,                0.61979,                0.72223,                0.52438,                0.65932,                0.30006,                0.78745,                0.00208,                0.00208,                0.00208
                     83,                0.58219,                0.27756,                0.78267,                0.83673,                0.61887,                0.72187,                0.52482,                0.65897,                0.30037,                 0.7878,               0.001981,               0.001981,               0.001981
                     84,                0.57973,                0.27636,                0.78153,                0.83945,                0.61843,                0.72287,                0.52504,                0.65826,                0.30036,                0.78807,               0.001882,               0.001882,               0.001882
                     85,                0.57611,                0.27476,                0.78203,                 0.8422,                0.61954,                0.72424,                0.52578,                0.65917,                0.30014,                0.78794,               0.001783,               0.001783,               0.001783
                     86,                 0.5727,                0.27366,                0.78202,                 0.8429,                0.61993,                0.72393,                0.52599,                0.65926,                0.30049,                 0.7876,               0.001684,               0.001684,               0.001684
                     87,                0.57102,                0.27204,                0.78226,                0.83993,                0.62126,                0.72445,                0.52646,                0.65831,                0.30061,                0.78702,               0.001585,               0.001585,               0.001585
                     88,                0.56264,                0.26804,                0.77951,                0.83891,                  0.619,                0.72398,                0.52671,                0.65893,                0.29998,                0.78727,               0.001486,               0.001486,               0.001486
                     89,                0.56204,                0.26758,                0.78015,                 0.8387,                0.62084,                0.72436,                 0.5268,                 0.6584,                0.29898,                 0.7874,               0.001387,               0.001387,               0.001387
                     90,                0.55558,                 0.2643,                0.77883,                0.83684,                0.62116,                0.72372,                 0.5268,                0.65926,                 0.2993,                0.78767,               0.001288,               0.001288,               0.001288
                     91,                0.55672,                 0.2626,                0.77479,                0.84077,                0.61646,                0.72398,                0.52618,                0.66039,                0.29957,                0.78795,               0.001189,               0.001189,               0.001189
                     92,                0.55069,                0.25948,                0.77404,                 0.8403,                 0.6174,                0.72448,                0.52738,                0.66104,                0.30014,                0.78823,                0.00109,                0.00109,                0.00109
                     93,                0.54492,                0.25787,                0.77331,                0.83947,                0.61605,                0.72414,                0.52691,                0.66015,                0.30033,                0.78817,               0.000991,               0.000991,               0.000991
                     94,                0.53754,                 0.2545,                0.77259,                0.83916,                0.61566,                0.72376,                0.52667,                0.66017,                0.30072,                 0.7881,               0.000892,               0.000892,               0.000892
                     95,                0.53399,                0.25228,                 0.7727,                 0.8379,                0.61599,                0.72354,                0.52714,                0.66068,                0.30168,                0.78816,               0.000793,               0.000793,               0.000793
                     96,                0.52775,                0.25025,                0.77237,                0.83812,                0.61657,                 0.7231,                0.52706,                0.66085,                0.30197,                0.78815,               0.000694,               0.000694,               0.000694
                     97,                0.52622,                0.24862,                0.77237,                0.83725,                0.61681,                0.72301,                0.52718,                0.66104,                0.30174,                0.78819,               0.000595,               0.000595,               0.000595
                     98,                0.52364,                 0.2462,                0.77332,                0.83715,                0.61691,                0.72278,                0.52747,                0.66107,                0.30161,                0.78825,               0.000496,               0.000496,               0.000496
                     99,                0.51672,                0.24345,                0.77243,                0.83673,                0.61748,                0.72334,                0.52751,                0.66103,                0.30247,                0.78823,               0.000397,               0.000397,               0.000397
                    100,                0.51322,                0.24188,                0.77167,                 0.8386,                0.61662,                0.72346,                0.52764,                0.66116,                0.30261,                0.78818,               0.000298,               0.000298,               0.000298
