                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.77816,                0.38226,                0.79962,                0.80381,                0.57036,                 0.6536,                0.44213,                0.76028,                0.36679,                0.79672,               0.002872,               0.002872,               0.002872
                     75,                 0.7679,                0.37746,                0.79948,                0.81247,                0.56635,                0.65304,                0.44307,                0.75837,                0.36457,                0.79693,               0.002773,               0.002773,               0.002773
                     76,                0.76806,                0.37818,                0.79923,                0.81705,                0.56251,                0.65451,                 0.4446,                0.75962,                0.36354,                0.79749,               0.002674,               0.002674,               0.002674
                     77,                0.76672,                0.37593,                0.79648,                 0.8138,                0.56689,                 0.6562,                0.44422,                0.75962,                0.36421,                0.79764,               0.002575,               0.002575,               0.002575
                     78,                0.76723,                0.37577,                0.79981,                 0.8141,                0.56596,                 0.6543,                0.44341,                0.75875,                0.36438,                0.79777,               0.002476,               0.002476,               0.002476
                     79,                0.76041,                 0.3732,                0.79785,                0.81374,                0.56802,                0.65612,                0.44637,                0.75862,                0.36254,                0.79754,               0.002377,               0.002377,               0.002377
                     80,                0.75708,                0.37255,                0.79792,                0.80937,                0.57071,                0.65615,                0.44587,                0.75765,                0.36252,                 0.7973,               0.002278,               0.002278,               0.002278
                     81,                 0.7527,                0.37006,                0.79786,                 0.8119,                0.56965,                0.65705,                0.44696,                0.75785,                0.36072,                0.79725,               0.002179,               0.002179,               0.002179
                     82,                0.75921,                0.37187,                 0.7977,                0.81187,                0.56772,                0.65469,                0.44615,                0.75638,                0.36134,                0.79682,                0.00208,                0.00208,                0.00208
                     83,                0.75258,                 0.3676,                0.79747,                0.81581,                0.56777,                0.65702,                0.44748,                0.75457,                0.36114,                 0.7965,               0.001981,               0.001981,               0.001981
                     84,                0.75035,                0.36652,                0.79679,                0.81507,                0.56895,                0.65817,                0.44835,                0.75572,                   0.36,                0.79681,               0.001882,               0.001882,               0.001882
                     85,                0.75079,                0.36662,                0.79628,                0.81967,                0.56771,                0.65865,                0.44815,                0.75486,                 0.3598,                 0.7965,               0.001783,               0.001783,               0.001783
                     86,                0.74607,                  0.362,                0.79668,                0.81068,                0.56887,                0.65797,                0.44859,                0.75369,                0.36054,                0.79656,               0.001684,               0.001684,               0.001684
                     87,                0.74481,                0.36183,                 0.7954,                0.81499,                0.56821,                0.65883,                0.44862,                0.75236,                0.35899,                0.79606,               0.001585,               0.001585,               0.001585
